LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean

COMMENT,mfm_cfg_t90ms.pbo,,,mfm_cfg_t90ms.pbo
// ==============================Info
STR_mfm_t90ms_std, T-90MS,T-90MS,T-90MS,  Т-90МС,  T-90MS,T-90MS,T-90MS
// ==============================Weapons
STR_t90ms_pkt, PKT,PKT,PKT,  ПКТ  PKT,PKT,PKT,
STR_t90ms_pkt_dpu,PKT (Commander),PKT (Commander),PKT (Commander),  ПКТ (ДПУ),  PKT (Commander),PKT (Commander),PKT (Commander),
STR_t90ms_3VOF36,3VOF36 HE-FRAG,3VOF36 HE-FRAG,3VOF36 HE-FRAG,  3ВОФ36 ОФ,  3VOF36 HE-FRAG,3VOF36 HE-FRAG,3VOF36 HE-FRAG,
STR_t90ms_3VBK25,3VBK25 HEAT,3VBK25 HEAT,3VBK25 HEAT,  3ВБК25 БК, 3VBK25 HEAT,3VBK25 HEAT,3VBK25 HEAT,
STR_t90ms_3BM42,3BM-42 APFSDS,3BM-42 APFSDS,3BM-42 APFSDS,  3БМ-42 БП,  3BM-42 APFSDS,3BM-42 APFSDS,3BM-42 APFSDS,  
STR_t90ms_9K119,9K119 (9M120) ATGM,9K119 (9M120) ATGM,9K119 (9M120) ATGM,  ПТР 9М119 «Рефлекс»,  9K119 (9M120) ATGM,9K119 (9M120) ATGM,9K119 (9M120) ATGM,

STR_t90ms_pkts,  PKT,PKT,PKT,  ПКТ,  PKT,PKT,PKT,  
STR_t90ms_3VOF36s,  3VOF36 HE,3VOF36 HE,3VOF36 HE,  3ВОФ36 ОФ, 3 VOF36 HE,3VOF36 HE,3VOF36 HE,
STR_t90ms_3VBK25s,  3VBK25 HEAT,3VBK25 HEAT,3VBK25 HEAT,  3ВБК25 БК,  3VBK25 HEAT,3VBK25 HEAT,3VBK25 HEAT,  
STR_t90ms_3BM42s,3BM-42 APFSDS,3BM-42 APFSDS,3BM-42 APFSDS,  3БМ-42 БП,  3BM-42 APFSDS,3BM-42 APFSDS,3BM-42 APFSDS,
STR_t90ms_9K119s,9K119 ATGM,9K119 ATGM,9K119 ATGM,   9М119 «Рефлекс»,   9K119 ATGM,9K119 ATGM,9K119 ATGM,

STR_RCWC_An72,"An-72 Coaler","An-72 Coaler","An-72 Coaler","Ан-72","An-72 Coaler","An-72 Coaler","An-72 Coaler",

STR_DN_RHS_HIND_PdoorOpen, "Open pilot cabin","Open pilot cabin","Open pilot cabin", "Открыть кабину пилота", "Open pilot cabin","Open pilot cabin","Open pilot cabin", 
STR_DN_RHS_HIND_PdoorClose,"Close pilot cabin","Close pilot cabin","Close pilot cabin", "Закрыть кабину пилота", "Close pilot cabin","Close pilot cabin","Close pilot cabin", 
STR_DN_RHS_HIND_GdoorOpen, "Open operator cabin","Open operator cabin","Open operator cabin", "Открыть кабину штурмана-оператора", "Open operator cabin","Open operator cabin","Open operator cabin", 
STR_DN_RHS_HIND_GdoorClose,"Close operator cabin","Close operator cabin","Close operator cabin", "Закрыть кабину штурмана-оператора", "Close operator cabin","Close operator cabin","Close operator cabin", 
STR_DN_RHS_HIND_RdoorOpen, "Open right door","Open right door","Open right door", "Открыть правую боковую дверь", "Open right door","Open right door","Open right door", 
STR_DN_RHS_HIND_RdoorClose,"Close right door","Close right door","Close right door", "Закрыть правую боковую дверь", "Close right door","Close right door","Close right door", 
STR_DN_RHS_HIND_LdoorOpen, "Open left door","Open left door","Open left door", "Открыть левую боковую дверь", "Open left door","Open left door","Open left door", 
STR_DN_RHS_HIND_LdoorClose,"Close left door","Close left door","Close left door", "Закрыть левую боковую дверь", "Close left door","Close left door","Close left door", 

STR_OWP_Mi17_PKT,  Mi17 (PKT),Mi17 (PKT),Mi17 (PKT),  Ми-17 (ПКТ),  Mi17 (PKT),Mi17 (PKT),Mi17 (PKT), 
STR_OWP_Mi8_comm_Copen, Open cargo doors,Open cargo doors,Open cargo doors, Открыть грузовой отсек, Open cargo doors,Open cargo doors,Open cargo doors,
STR_OWP_Mi8_comm_Cclose, Close cargo doors,Close cargo doors,Close cargo doors, Закрыть грузовой отсек, Close cargo doors,Close cargo doors,Close cargo doors,
STR_OWP_Mi8_comm_dooropen, Open side door,Open side door,Open side door, Открыть боковую дверь, Open side door,Open side door,Open side door,
STR_OWP_Mi8_comm_doorclos, Close side door,Close side door,Close side door, Закрыть боковую дверь, Close side door,Close side door,Close side door,


STR_ACT_MNF_OpenWindow1,"Open hatches","Open hatches","Open hatches",  "Открыть люки",  "Open hatches","Open hatches","Open hatches",
STR_ACT_MNF_CloseWindow1,"Close hatches","Close hatches","Close hatches",  "Закрыть люки",  "Close hatches","Close hatches","Close hatches",
STR_ACT_MNF_OpenWindow2,"Open hatch","Open hatch","Open hatch",  "Открыть люк",  "Open hatch","Open hatch","Open hatch",
STR_ACT_MNF_CloseWindow2,"Close hatch","Close hatch","Close hatch",  "Закрыть люк",  "Close hatch","Close hatch","Close hatch",
STR_ACT_MNF_LowerWheels,"Lower wheels","Lower wheels","Lower wheels",  "Опустить доп. колеса",  "Lower wheels","Lower wheels","Lower wheels",
STR_ACT_MNF_RaiseWheels,"Raise wheels","Raise wheels","Raise wheels",  "Поднять доп. колеса",  "Raise wheels","Raise wheels","Raise wheels",

STR_PWR_PARACHUTE,PWR Parachute,PWR Fallschirm,PWR Paraљutista,PWR Parachute,PWR Parachute,PWR Parachute,PWR Parachute
